entry,sym,structure,prem,K,spot0,spot_exp,ret
2020-09-25,TATAPOWER,CALLSPREAD,1.1,53.0,53.2,52.1,-1.0
2020-09-25,AUROPHARMA,CALLSPREAD,15.049999999999997,780.0,776.15,767.35,-1.0
2020-09-25,JSWSTEEL,CALLSPREAD,5.9,270.0,269.4,307.4,1.4382483947474978
2020-09-25,MUTHOOTFIN,CALLSPREAD,26.75,1080.0,1089.6,1240.35,1.220782825946146
2020-10-30,HEROMOTOCO,CALLSPREAD,59.5,2800.0,2809.0,3027.4,1.4960479241201432
2020-10-30,BRITANNIA,CALLSPREAD,52.85,3500.0,3482.15,3553.45,0.0013394906188786795
2020-10-30,LUPIN,CALLSPREAD,14.8,920.0,912.4,901.6,-1.0
2020-10-30,JUBLFOOD,CALLSPREAD,35.050000000000004,2200.0,2181.65,2501.2,1.8248188584906986
2020-10-30,TORNTPHARM,CALLSPREAD,323.95,2550.0,2566.5,2613.7,-0.8053116007695852
2020-11-27,RELIANCE,CALLSPREAD,37.39999999999999,1950.0,1942.3,1983.05,-0.1250595647800085
2020-11-27,MUTHOOTFIN,CALLSPREAD,16.5,1160.0,1150.65,1208.55,1.399693133870349
2020-11-27,LUPIN,CALLSPREAD,14.849999999999998,900.0,897.8,976.75,1.6576879910213242
2020-11-27,CIPLA,CALLSPREAD,14.149999999999999,750.0,747.8,818.55,1.770785269982186
2021-01-01,AMBUJACEM,CALLSPREAD,4.5,253.0,251.65,248.3,-1.0
2021-01-01,M&M,CALLSPREAD,11.25,740.0,736.45,766.3,1.2901490284851875
2021-01-01,BPCL,CALLSPREAD,7.65,385.0,384.1,384.3,-1.0
2021-01-01,ACC,CALLSPREAD,29.85,1640.0,1635.1,1630.55,-1.0
2021-01-29,SAIL,CALLSPREAD,0.75,58.0,57.6,73.05,1.5157232704402517
2021-01-29,NMDC,CALLSPREAD,1.9500000000000002,105.0,105.35,127.95,1.4189646831156264
2021-01-29,GODREJPROP,CALLSPREAD,32.099999999999994,1260.0,1259.45,1551.15,0.8506523549551221
2021-01-29,BAJFINANCE,CALLSPREAD,77.65,4800.0,4763.5,5538.4,1.5501584285923762
2021-01-29,ASIANPAINT,CALLSPREAD,33.75000000000001,2420.0,2418.95,2378.3,-1.0
2021-02-26,BALKRISIND,CALLSPREAD,39.65,1560.0,1559.7,1599.6,-0.011149538661308547
2021-02-26,TECHM,CALLSPREAD,19.6,920.0,923.65,968.5,1.440240802203234
2021-02-26,ASIANPAINT,CALLSPREAD,36.7,2300.0,2290.9,2400.25,1.6978174656702727
2021-02-26,CIPLA,CALLSPREAD,15.95,790.0,790.75,788.05,-1.0
2021-02-26,MARUTI,CALLSPREAD,121.84999999999997,6900.0,6902.1,6796.9,-1.0
2021-03-26,BANKBARODA,CALLSPREAD,1.6000000000000005,71.0,71.35,66.75,-1.0
2021-03-26,PNB,CALLSPREAD,0.75,36.0,36.2,35.0,-1.0
2021-03-26,IDFCFIRSTB,CALLSPREAD,0.75,58.0,57.6,54.85,-1.0
2021-03-26,DLF,CALLSPREAD,6.4,280.0,281.65,248.9,-1.0
2021-03-26,ASHOKLEY,CALLSPREAD,1.9999999999999996,115.0,114.65,115.15,-0.9292452830188652
2021-04-30,DLF,CALLSPREAD,3.8499999999999996,250.0,248.2,282.8,1.4751718869365928
2021-04-30,IDFCFIRSTB,CALLSPREAD,1.15,54.0,54.25,57.9,1.4610336341263332
2021-04-30,BANKBARODA,CALLSPREAD,1.25,67.0,67.05,83.7,1.2641509433962261
2021-04-30,M&M,CALLSPREAD,14.399999999999999,760.0,757.25,825.9,1.7280265339966836
2021-04-30,PFC,CALLSPREAD,2.8999999999999986,109.5,108.9,117.3,0.6742833402575827
2021-05-28,JINDALSTEL,CALLSPREAD,7.75,400.0,398.2,386.3,-1.0
2021-05-28,CHOLAFIN,CALLSPREAD,7.699999999999999,550.0,546.35,530.6,-1.0
2021-05-28,NAUKRI,CALLSPREAD,77.39999999999998,4500.0,4492.6,4779.8,1.5583953744211638
2021-05-28,TATACONSUM,CALLSPREAD,14.7,650.0,654.55,757.0,1.6517613414792671
2021-06-25,ADANIPORTS,CALLSPREAD,11.25,720.0,716.65,659.3,-1.0
2021-06-25,BHEL,CALLSPREAD,1.0999999999999996,66.0,65.6,60.2,-1.0
2021-06-25,AUROPHARMA,CALLSPREAD,13.650000000000002,960.0,955.2,906.65,-1.0
2021-06-25,M&M,CALLSPREAD,14.299999999999999,790.0,790.15,730.65,-1.0
2021-07-30,BHEL,CALLSPREAD,1.35,59.0,59.5,52.0,-1.0
2021-07-30,ADANIENT,CALLSPREAD,31.699999999999996,1420.0,1427.15,1473.8,0.6803573101789662
2021-07-30,BANKBARODA,CALLSPREAD,1.8999999999999995,80.0,80.4,74.05,-1.0
2021-07-30,CIPLA,CALLSPREAD,13.750000000000002,920.0,916.45,908.85,-1.0
2021-07-30,CHOLAFIN,CALLSPREAD,7.6,480.0,477.55,530.4,1.5624784060808479
2021-08-27,SAIL,CALLSPREAD,4.1,115.0,116.95,113.75,-1.0
2021-08-27,NMDC,CALLSPREAD,1.9,155.0,153.0,143.05,-1.0
2021-08-27,JINDALSTEL,CALLSPREAD,8.299999999999999,370.0,372.55,389.0,1.2260074781886168
2021-08-27,BHEL,CALLSPREAD,1.2999999999999998,54.0,54.4,64.5,1.177068214804064
2021-10-01,TATASTEEL,CALLSPREAD,25.85000000000001,1300.0,1303.65,1296.95,-1.0
2021-10-01,APOLLOHOSP,CALLSPREAD,97.54999999999998,4450.0,4467.15,4287.3,-1.0
2021-10-01,ADANIENT,CALLSPREAD,31.050000000000004,1460.0,1465.95,1396.45,-1.0
2021-10-01,DIVISLAB,CALLSPREAD,87.55,4850.0,4839.5,5107.6,1.8272387490033983
2021-10-01,GODREJCP,CALLSPREAD,18.45,1020.0,1022.75,983.75,-1.0
2021-10-29,JUBLFOOD,CALLSPREAD,72.5,3700.0,3706.7,3758.8,-0.1969955616251255
2021-10-29,COFORGE,CALLSPREAD,117.85,4800.0,4844.3,5500.55,1.5204047770071873
2021-10-29,TORNTPHARM,CALLSPREAD,47.39999999999999,2860.0,2863.2,2986.9,1.6507081087855642
2021-10-29,COALINDIA,CALLSPREAD,2.3499999999999996,165.0,164.55,158.3,-1.0
2021-10-29,PFC,CALLSPREAD,2.55,132.5,133.2,123.65,-1.0
2021-11-26,BHEL,CALLSPREAD,1.05,60.0,59.6,57.05,-1.0
2021-11-26,HINDALCO,CALLSPREAD,8.0,420.0,418.45,450.65,1.4253731343283584
2021-11-26,COALINDIA,CALLSPREAD,2.4499999999999997,155.0,154.4,145.9,-1.0
2021-11-26,BALKRISIND,CALLSPREAD,401.4,2180.0,2173.7,2266.45,-0.7867611873294957
2021-11-26,KOTAKBANK,CALLSPREAD,27.900000000000002,1980.0,1970.2,1755.4,-1.0
2021-12-31,BANKBARODA,CALLSPREAD,1.6,82.0,82.3,103.15,1.3584905660377355
2021-12-31,GODREJPROP,CALLSPREAD,35.8,1900.0,1881.2,1611.9,-1.0
2021-12-31,APOLLOHOSP,CALLSPREAD,96.60000000000001,5050.0,5041.55,4299.1,-1.0
2021-12-31,NAUKRI,CALLSPREAD,105.8,5600.0,5589.5,4389.65,-1.0
2021-12-31,BAJAJFINSV,CALLSPREAD,270.74999999999994,16500.0,16453.85,15345.55,-1.0
2022-01-28,BAJAJFINSV,CALLSPREAD,303.34999999999997,15250.0,15238.65,15238.05,-1.0
2022-01-28,APOLLOHOSP,CALLSPREAD,80.35,4500.0,4497.05,4375.5,-1.0
2022-01-28,MPHASIS,CALLSPREAD,58.45,3050.0,3041.7,2945.7,-1.0
2022-01-28,VOLTAS,CALLSPREAD,101.7,1140.0,1144.75,1189.5,-0.51809340226058
2022-04-01,HINDALCO,CALLSPREAD,13.1,570.0,572.85,487.5,-1.0
2022-04-01,MARUTI,CALLSPREAD,160.1,7700.0,7716.4,7876.5,0.09152076981589481
2022-04-01,COALINDIA,CALLSPREAD,3.65,187.5,187.25,189.85,-0.3926079090204202
2022-07-29,ASHOKLEY,CALLSPREAD,2.8,150.0,149.95,147.15,-1.0
2022-07-29,MARUTI,CALLSPREAD,142.0,8800.0,8772.15,8728.55,-1.0
2022-07-29,RELIANCE,CALLSPREAD,41.650000000000006,2520.0,2517.55,2632.45,1.6731484673077106
2022-08-26,SUNPHARMA,CALLSPREAD,14.549999999999999,890.0,886.7,931.1,1.6874779201592962
2022-08-26,HEROMOTOCO,CALLSPREAD,49.74999999999999,2850.0,2841.15,2540.4,-1.0
2022-08-26,TATACONSUM,CALLSPREAD,14.75,810.0,807.55,793.15,-1.0
2022-09-30,CHOLAFIN,CALLSPREAD,14.25,730.0,734.65,717.3,-1.0
2022-09-30,ASHOKLEY,CALLSPREAD,3.9000000000000004,152.5,153.65,147.8,-1.0
2022-09-30,ABB,CALLSPREAD,52.400000000000006,3100.0,3105.65,3045.2,-1.0
2022-09-30,SIEMENS,CALLSPREAD,49.95,2780.0,2781.55,2880.95,1.0010109119019974
2022-10-28,ADANIENT,CALLSPREAD,57.050000000000004,3350.0,3340.85,3911.1,1.6032401662602715
2022-10-28,BAJFINANCE,CALLSPREAD,156.35000000000002,7000.0,7046.0,6775.9,-1.0
2022-10-28,TATACONSUM,CALLSPREAD,10.5,770.0,765.8,793.55,1.170506912442392
2022-11-25,COALINDIA,CALLSPREAD,4.5,232.5,233.4,221.85,-1.0
2022-11-25,EICHERMOT,CALLSPREAD,53.349999999999994,3450.0,3435.5,3263.35,-1.0
2022-11-25,ZYDUSLIFE,CALLSPREAD,7.300000000000001,405.0,404.95,416.1,0.4498247849633669
2022-11-25,POLYCAB,CALLSPREAD,34.05,2600.0,2576.2,2570.4,-1.0
2022-12-30,AMBUJACEM,CALLSPREAD,9.399999999999999,530.0,527.8,458.65,-1.0
2022-12-30,ADANIPORTS,CALLSPREAD,15.75,820.0,823.65,712.6,-1.0
2022-12-30,DLF,CALLSPREAD,7.8999999999999995,375.0,377.25,352.1,-1.0
2022-12-30,TRENT,CALLSPREAD,20.9,1360.0,1356.2,1211.55,-1.0
2022-12-30,ABB,CALLSPREAD,52.699999999999996,2700.0,2701.9,2871.1,1.8181186240066132
2023-01-27,PNB,CALLSPREAD,1.1999999999999997,51.0,51.2,48.25,-1.0
2023-01-27,BANKBARODA,CALLSPREAD,3.1999999999999993,157.5,158.25,155.5,-1.0
2023-01-27,BHEL,CALLSPREAD,1.1500000000000004,74.0,73.55,68.85,-1.0
2023-01-27,INDUSINDBK,CALLSPREAD,25.300000000000004,1120.0,1124.6,1074.15,-1.0
2023-02-24,BANKBARODA,CALLSPREAD,2.95,155.0,155.3,164.55,1.3984649824112565
2023-02-24,PNB,CALLSPREAD,0.8,48.0,47.85,46.2,-1.0
2023-02-24,BHEL,CALLSPREAD,1.0999999999999999,69.0,68.9,70.25,0.07204116638078908
2023-02-24,RECLTD,CALLSPREAD,1.8,113.75,113.5,115.55,-0.056603773584907216
2023-02-24,SAIL,CALLSPREAD,1.85,83.0,83.35,82.55,-1.0
2023-04-28,HCLTECH,CALLSPREAD,15.499999999999998,1070.0,1067.7,1115.75,1.8682732447817838
2023-04-28,GODREJCP,CALLSPREAD,17.45,910.0,912.55,1028.2,1.8023552378853236
2023-04-28,NTPC,CALLSPREAD,2.75,172.5,172.7,174.7,-0.24528301886792844
2023-05-26,PNB,CALLSPREAD,0.9999999999999999,50.0,50.15,50.9,-0.1509433962264163
2023-05-26,JINDALSTEL,CALLSPREAD,11.600000000000001,520.0,524.3,581.15,1.5103279656015507
2023-05-26,DRREDDY,CALLSPREAD,74.7,4550.0,4562.6,5020.35,2.3135843704852412
2023-05-26,LT,CALLSPREAD,30.900000000000002,2240.0,2230.15,2391.8,2.193381769862192
2023-06-30,BANDHANBNK,CALLSPREAD,4.9,242.5,243.4,216.4,-1.0
2023-06-30,MARICO,CALLSPREAD,7.8500000000000005,535.0,533.5,554.8,1.4080759524095605
2023-06-30,AUBANK,CALLSPREAD,14.5,750.0,752.4,730.35,-1.0
2023-07-28,AUBANK,CALLSPREAD,10.350000000000001,730.0,725.55,722.75,-1.0
