entry,sym,structure,prem,K,spot0,spot_exp,ret
2020-11-27,MUTHOOTFIN,ATM,58.65,1160.0,1150.65,1208.55,-0.18059071729957873
2020-11-27,LUPIN,ATM,44.4,900.0,897.8,976.75,0.7055555555555556
2020-11-27,CIPLA,ATM,29.65,750.0,747.8,818.55,1.2661157024793372
2021-01-01,AMBUJACEM,ATM,10.25,253.0,251.65,248.3,-1.0
2021-01-01,M&M,ATM,28.85,740.0,736.45,766.3,-0.10696095076400843
2021-01-01,BPCL,ATM,21.8,385.0,384.1,384.3,-1.0
2021-01-01,ACC,ATM,60.45,1640.0,1635.1,1630.55,-1.0
2021-01-29,SAIL,ATM,3.55,58.0,57.6,73.05,2.9994685091682163
2021-01-29,NMDC,ATM,5.65,105.0,105.35,127.95,2.832025379863082
2021-01-29,GODREJPROP,ATM,85.8,1260.0,1259.45,1551.15,2.3597590528283607
2021-01-29,BAJFINANCE,ATM,214.35,4800.0,4763.5,5538.4,2.4107259571303508
2021-01-29,ASIANPAINT,ATM,78.15,2420.0,2418.95,2378.3,-1.0
2021-02-26,BALKRISIND,ATM,86.0,1560.0,1559.7,1599.6,-0.5440939442781498
2021-02-26,TECHM,ATM,42.75,920.0,923.65,968.5,0.11880046136101496
2021-02-26,ASIANPAINT,ATM,86.75,2300.0,2290.9,2400.25,0.14417781835820462
2021-02-26,CIPLA,ATM,35.9,790.0,790.75,788.05,-1.0
2021-02-26,MARUTI,ATM,350.65,6900.0,6902.1,6796.9,-1.0
2021-03-26,BANKBARODA,ATM,4.65,71.0,71.35,66.75,-1.0
2021-03-26,PNB,ATM,2.5,36.0,36.2,35.0,-1.0
2021-03-26,IDFCFIRSTB,ATM,3.0,58.0,57.6,54.85,-1.0
2021-03-26,DLF,ATM,15.55,280.0,281.65,248.9,-1.0
2021-03-26,ASHOKLEY,ATM,5.85,115.0,114.65,115.15,-0.9758103531688428
2021-04-30,DLF,ATM,12.15,250.0,248.2,282.8,1.572549019607844
2021-04-30,IDFCFIRSTB,ATM,3.0,54.0,54.25,57.9,0.22641509433962212
2021-04-30,BANKBARODA,ATM,3.95,67.0,67.05,83.7,2.988535944590399
2021-04-30,M&M,ATM,32.9,760.0,757.25,825.9,0.9671641791044769
2021-04-30,PFC,ATM,20.15,109.5,108.9,117.3,-0.6240963855421688
2021-05-28,JINDALSTEL,ATM,21.95,400.0,398.2,386.3,-1.0
2021-05-28,CHOLAFIN,ATM,24.75,550.0,546.35,530.6,-1.0
2021-05-28,NAUKRI,ATM,215.45,4500.0,4492.6,4779.8,0.2858189973093396
2021-05-28,TATACONSUM,ATM,22.95,650.0,654.55,757.0,3.543524416135882
2021-06-25,ADANIPORTS,ATM,36.15,720.0,716.65,659.3,-1.0
2021-06-25,BHEL,ATM,3.3,66.0,65.6,60.2,-1.0
2021-06-25,AUROPHARMA,ATM,29.8,960.0,955.2,906.65,-1.0
2021-06-25,M&M,ATM,29.15,790.0,790.15,730.65,-1.0
2021-07-30,BHEL,ATM,4.25,59.0,59.5,52.0,-1.0
2021-07-30,ADANIENT,ATM,74.1,1420.0,1427.15,1473.8,-0.28114268916770274
2021-07-30,BANKBARODA,ATM,4.1,80.0,80.4,74.05,-1.0
2021-07-30,CIPLA,ATM,29.35,920.0,916.45,908.85,-1.0
2021-07-30,CHOLAFIN,ATM,22.25,480.0,477.55,530.4,1.2056892778993424
2021-08-27,SAIL,ATM,7.35,115.0,116.95,113.75,-1.0
2021-08-27,NMDC,ATM,5.3,155.0,153.0,143.05,-1.0
2021-08-27,JINDALSTEL,ATM,21.15,370.0,372.55,389.0,-0.12643678160919541
2021-08-27,BHEL,ATM,3.3,54.0,54.4,64.5,2.0017152658662094
2021-10-01,TATASTEEL,ATM,73.9,1300.0,1303.65,1296.95,-1.0
2021-10-01,APOLLOHOSP,ATM,251.85,4450.0,4467.15,4287.3,-1.0
2021-10-01,ADANIENT,ATM,83.95,1460.0,1465.95,1396.45,-1.0
2021-10-01,DIVISLAB,ATM,191.25,4850.0,4839.5,5107.6,0.3335921827476885
2021-10-01,GODREJCP,ATM,49.15,1020.0,1022.75,983.75,-1.0
2021-10-29,JUBLFOOD,ATM,175.25,3700.0,3706.7,3758.8,-0.6678013022414927
2021-10-29,COFORGE,ATM,264.45,4800.0,4844.3,5500.55,1.622854457879141
2021-10-29,TORNTPHARM,ATM,101.6,2860.0,2863.2,2986.9,0.23664925547672966
2021-10-29,COALINDIA,ATM,6.05,165.0,164.55,158.3,-1.0
2021-10-29,PFC,ATM,5.75,132.5,133.2,123.65,-1.0
2021-11-26,BHEL,ATM,3.0,60.0,59.6,57.05,-1.0
2021-11-26,HINDALCO,ATM,19.5,420.0,418.45,450.65,0.5248756218905463
2021-11-26,COALINDIA,ATM,5.6,155.0,154.4,145.9,-1.0
2021-11-26,BALKRISIND,ATM,439.7,2180.0,2173.7,2266.45,-0.8053353208871039
2021-11-26,KOTAKBANK,ATM,56.7,1980.0,1970.2,1755.4,-1.0
2021-12-31,BANKBARODA,ATM,3.5,82.0,82.3,103.15,4.700808625336928
2021-12-31,GODREJPROP,ATM,78.55,1900.0,1881.2,1611.9,-1.0
2021-12-31,APOLLOHOSP,ATM,224.4,5050.0,5041.55,4299.1,-1.0
2021-12-31,NAUKRI,ATM,200.6,5600.0,5589.5,4389.65,-1.0
2021-12-31,BAJAJFINSV,ATM,529.55,16500.0,16453.85,15345.55,-1.0
2022-01-28,BAJAJFINSV,ATM,742.65,15250.0,15238.65,15238.05,-1.0
2022-01-28,APOLLOHOSP,ATM,244.45,4500.0,4497.05,4375.5,-1.0
2022-01-28,MPHASIS,ATM,142.0,3050.0,3041.7,2945.7,-1.0
2022-01-28,VOLTAS,ATM,129.5,1140.0,1144.75,1189.5,-0.6215451660996215
2022-04-01,HINDALCO,ATM,27.5,570.0,572.85,487.5,-1.0
2022-04-01,MARUTI,ATM,282.0,7700.0,7716.4,7876.5,-0.38031037146267815
2022-04-01,COALINDIA,ATM,7.5,187.5,187.25,189.85,-0.7044025157232712
2022-07-29,ASHOKLEY,ATM,6.1,150.0,149.95,147.15,-1.0
