entry,sym,net,reason,gapfreq,hi52,beta,oi,win,sl
2018-08-31,INDIANB,-0.0572938629236972,sl,31.0,-0.16951884920634908,1.2832499420918584,4856000.0,False,True
2018-08-31,TITAN,0.01921608376030315,tp,10.0,-0.10309690309690311,1.2920899839744238,15498750.0,True,False
2018-08-31,KOTAKBANK,-0.06120830913385222,sl,4.0,-0.08599639027497608,0.7319658039711444,10948800.0,False,True
2018-08-31,MARUTI,-0.05281900975628384,sl,3.0,-0.06847888483050457,0.8862173577053989,2379675.0,False,True
2018-08-31,INDUSINDBK,-0.052473857662229006,sl,1.0,-0.05298226493609426,0.4629938614777015,5420700.0,False,True
2018-09-28,HAVELLS,0.028502975442125655,tp,12.0,-0.18101317957166396,1.7863904318106214,3996000.0,True,False
2018-09-28,BAJFINANCE,0.020203201177444785,tp,12.0,-0.27208811811577227,1.9812972378448068,7109000.0,True,False
2018-09-28,DABUR,0.028078593950718322,tp,6.0,-0.12002877402116952,1.9044734742882417,15060000.0,True,False
2018-09-28,NESTLEIND,-0.022487120038573227,expiry,10.0,-0.16353167315976447,0.9971538576834588,335500.0,False,False
2018-09-28,BAJAJFINSV,-0.06195192243840897,sl,10.0,-0.15502125212170514,1.5935324448142218,632625.0,False,True
2018-11-30,ADANIENT,-0.08913763960156951,sl,60.0,-0.2788419677840661,1.1390368905964683,21904000.0,False,True
2018-11-30,HCLTECH,0.019990681706719138,tp,14.0,-0.08777738010021463,0.38743485277105144,8122800.0,True,False
2018-11-30,TECHM,0.024686385508066677,tp,15.0,-0.09072191481147862,0.8197783881853321,12182400.0,True,False
2018-11-30,WIPRO,0.03176419012459608,tp,4.0,-0.03230128014289957,0.3704416658064406,27196800.0,True,False
2018-11-30,DIVISLAB,0.04068549873100846,tp,15.0,-0.07843388548909025,1.3025131536484407,4090000.0,True,False
2018-12-28,AUROPHARMA,0.02931761308950931,tp,16.0,-0.12119381343644275,0.9902086201224082,21023000.0,True,False
2018-12-28,LUPIN,0.025515151515151602,tp,16.0,-0.12817337461300315,0.7750405466695303,8208900.0,True,False
2018-12-28,ULTRACEMCO,-0.06124425020147539,sl,7.0,-0.1105732118832845,1.0931920627118257,1620000.0,False,True
2018-12-28,TITAN,0.020216865518544513,tp,16.0,-0.0747752247752248,0.8802978139630386,14521500.0,True,False
2018-12-28,PIDILITIND,0.0256600505232768,tp,11.0,-0.08153795160755706,1.1641162049904314,2801500.0,True,False
2019-02-01,ICICIBANK,-0.019547140649149974,expiry,13.0,-0.06833355151197795,0.8074281672400979,90620750.0,False,False
2019-02-01,FEDERALBNK,-0.056523423944476514,sl,23.0,-0.16835016835016836,1.0117155364185324,46774000.0,False,True
2019-02-01,MUTHOOTFIN,0.048766402600040615,tp,24.0,-0.096862960924601,1.3196531440853123,1254000.0,True,False
2019-02-01,BAJAJFINSV,0.021839310013281543,tp,19.0,-0.13920490411996567,1.3082862302055955,698375.0,True,False
2019-02-01,PFC,0.034146846413095955,tp,46.0,-0.11541737649063044,0.9254459531945819,28606800.0,True,False
2019-03-01,APOLLOHOSP,0.029859408671666476,tp,20.0,-0.14648322542672165,1.0159745084173544,1295000.0,True,False
2019-03-01,DRREDDY,0.021658354208652697,tp,17.0,-0.06399520476702569,0.4211499282503524,4133250.0,True,False
2019-03-01,AUROPHARMA,0.03363203463203479,tp,18.0,-0.12077090381826971,1.073480380702764,18470000.0,True,False
2019-03-01,SIEMENS,0.019343669761011317,tp,15.0,-0.13674339300937766,1.2287468442936986,1700050.0,True,False
2019-03-01,INDIGO,0.052672817601135624,tp,38.0,-0.250407315045719,0.674177551399351,2289000.0,True,False
2019-03-29,DIVISLAB,0.012572551989281755,tp,15.0,-0.0003493856635415904,0.5042399481893907,2592400.0,True,False
2019-03-29,NESTLEIND,-0.01827064895085906,expiry,13.0,-0.061865608888058365,0.6397725976338716,324450.0,False,False
2019-03-29,HCLTECH,0.019096830181784985,tp,14.0,-0.020490336435218248,0.5670134323367205,7982100.0,True,False
2019-03-29,TCS,0.03563258215030285,tp,11.0,-0.43626264463503706,0.8294992868218897,13977000.0,True,False
2019-03-29,DRREDDY,0.020672657046295728,tp,17.0,-0.014103626394936786,0.7279881088733623,3340750.0,True,False
2019-04-26,BPCL,0.02230877427997313,tp,28.0,-0.12382629107981225,1.6411720583044955,12929400.0,True,False
2019-04-26,UNIONBANK,-0.05505405405405406,sl,49.0,-0.10843373493975905,2.220992182297304,31864000.0,False,True
2019-04-26,RECLTD,-0.05940407470288622,sl,44.0,-0.05396723417924831,0.39700495256683566,28464000.0,False,True
2019-04-26,PNB,-0.05159021922428331,sl,44.0,-0.10332661290322576,1.8764351831954047,92281000.0,False,True
2019-04-26,IOC,0.029136098509397024,tp,27.0,-0.11828571428571422,1.3591219601237432,40964000.0,True,False
2019-05-31,PNB,0.021881880024737232,tp,47.0,-0.1849798387096775,2.109880886324428,109627000.0,True,False
2019-05-31,DIVISLAB,0.0015374349978073418,expiry,16.0,-0.0969986704760828,0.5456404396774249,2954800.0,True,False
2019-05-31,RELIANCE,0.021484584147992147,tp,11.0,-0.060278425552964476,1.3065188888364143,32052000.0,True,False
