entry,sym,prem0,exit_prem,K,ret
2019-02-01,ICICIBANK,12.8,0.0,355.0,-1.046875
2019-02-01,FEDERALBNK,3.05,0.75,87.5,-0.8288524590163934
2019-02-01,MUTHOOTFIN,24.8,42.3,490.0,0.6401860041623307
2019-02-01,BAJAJFINSV,230.0,267.6,6100.0,0.14184347826086965
2019-02-01,PFC,3.8,4.5,105.0,0.053157894736842154
2019-03-01,APOLLOHOSP,47.3,62.05,1160.0,0.28251366608709644
2019-03-01,DRREDDY,97.05,92.15,2650.0,-0.06998454404945895
2019-03-01,AUROPHARMA,27.85,41.0,720.0,0.41891190624304986
2019-03-01,SIEMENS,31.0,39.0,1020.0,0.21436004162330904
2019-03-01,INDIGO,47.25,89.95,1120.0,0.8668312757201646
2019-03-29,DIVISLAB,50.55,19.05,1720.0,-0.6394878884202555
2019-03-29,NESTLEIND,420.0,0.0,11000.0,-1.01
2019-03-29,HCLTECH,31.35,41.6,1100.0,0.282418748044535
2019-03-29,TCS,66.8,97.2,2020.0,0.43053892215568873
2019-03-29,DRREDDY,81.0,58.45,2800.0,-0.2956111111111111
2019-04-26,BPCL,16.95,22.3,370.0,0.23366486542929502
2019-04-26,UNIONBANK,4.1,2.35,90.0,-0.5212195121951219
2019-04-26,RECLTD,6.1,3.4,147.5,-0.5360655737704918
2019-04-26,PNB,4.2,3.2,90.0,-0.3438095238095238
2019-04-26,IOC,5.75,8.0,155.0,0.24782608695652175
2019-05-31,PNB,4.35,5.05,80.0,0.03126436781609201
2019-05-31,DIVISLAB,52.3,0.15000000000009095,1600.0,-1.0086371097762925
2019-05-31,RELIANCE,41.85,57.95,1320.0,0.3505179361347705
2019-05-31,DRREDDY,71.25,1.6,2700.0,-0.9877684210526316
2019-05-31,TECHM,20.8,0.2,760.0,-1.0195081360946745
2019-06-28,DLF,7.55,8.9,190.0,0.04807947019867558
2019-06-28,BANKBARODA,5.4,6.7,122.5,0.10629629629629624
2019-06-28,ACC,46.05,57.35,1560.0,0.21612961410731157
2019-06-28,INDIGO,56.7,92.65,1560.0,0.6061653742429757
2019-07-26,RECLTD,5.65,2.45,142.5,-0.6523893805309735
2019-07-26,BAJAJFINSV,217.55,325.15,7300.0,0.4696529533440586
2019-07-26,BAJFINANCE,115.75,134.8,3300.0,0.14293304535637158
2019-07-26,TITAN,43.1,16.9,1100.0,-0.6272683717249585
2019-07-26,PFC,4.7,3.05,112.5,-0.45
2019-09-27,RELIANCE,44.95,65.8,1320.0,0.4309608624587199
2019-09-27,BHARTIARTL,14.8,27.5,350.0,0.7422388604821036
2019-09-27,POWERGRID,8.95,7.75,197.5,-0.24603351955307254
2019-09-27,INFY,28.7,37.75,780.0,0.2669268778302517
2019-11-01,ULTRACEMCO,122.85,39.2,4200.0,-0.6941025641025641
2019-11-01,ACC,56.8,0.0,1540.0,-1.0105633802816902
2019-11-01,ADANIPORTS,17.5,4.1,390.0,-0.8080326530612245
2019-11-01,MARICO,10.0,0.0,370.0,-1.06
2019-11-29,TITAN,36.1,46.65,1160.0,0.25414553295324616
2019-11-29,NMDC,4.3,6.0,102.5,0.25162790697674425
2019-11-29,SIEMENS,42.85,40.0,1480.0,-0.09358444221450368
2019-11-29,BRITANNIA,91.0,81.3,3050.0,-0.12552747252747257
2019-12-27,APOLLOHOSP,43.5,90.9,1420.0,1.0470392390011891
2019-12-27,GODREJCP,22.7,33.5,690.0,0.41033204603233137
2019-12-27,EICHERMOT,654.6,961.95,22500.0,0.4448281393217232
2019-12-27,SUNPHARMA,13.25,17.5,430.0,0.21566393734425063
2020-01-31,NMDC,5.35,1.35,115.0,-0.8228037383177569
2020-01-31,EICHERMOT,764.85,155.85,20500.0,-0.8082722102373014
2020-01-31,SBIN,14.3,3.95,320.0,-0.7773240745268717
2020-01-31,BPCL,20.5,30.0,450.0,0.3913146936347412
2020-07-31,JUBLFOOD,87.65,117.0,1720.0,0.3115059897318881
2020-07-31,TATAPOWER,2.65,3.1,49.0,0.039622641509434044
2020-07-31,HEROMOTOCO,116.35,138.8,2700.0,0.17102277610657513
2020-07-31,BHARTIARTL,24.75,10.4,550.0,-0.6142271196816651
2020-08-28,MUTHOOTFIN,59.4,36.95,1220.0,-0.3943305104921266
2020-08-28,APOLLOHOSP,70.4,90.05,1660.0,0.25632812499999985
2020-08-28,BHARTIARTL,25.3,38.95,520.0,0.47929978596759837
2020-08-28,ULTRACEMCO,149.25,64.15,4050.0,-0.5844824120603015
2020-09-25,JINDALSTEL,13.5,18.1,175.0,0.23670781893004125
2020-09-25,TATAPOWER,2.85,3.25,53.0,0.01192982456140348
2020-09-25,AUROPHARMA,38.55,52.1,780.0,0.3148924788162325
2020-09-25,JSWSTEEL,14.05,18.4,270.0,0.21097757120603827
2020-09-25,MUTHOOTFIN,67.8,87.35,1080.0,0.26546460176991143
2020-10-30,HEROMOTOCO,138.9,198.05,2800.0,0.40158747300215986
2020-10-30,BRITANNIA,100.7,116.4,3500.0,0.13434955312810332
2020-10-30,LUPIN,42.5,53.85,920.0,0.23505328719723187
2020-10-30,JUBLFOOD,82.65,105.1,2200.0,0.2489110707803991
2020-10-30,TORNTPHARM,376.45,108.2,2550.0,-0.7254522512949927
2020-11-27,RELIANCE,80.6,102.15,1950.0,0.2446960297766751
2020-11-27,MUTHOOTFIN,58.65,69.85,1160.0,0.16854939462719362
2020-11-27,LUPIN,44.4,50.7,900.0,0.11294740686632587
2020-11-27,CIPLA,29.65,36.2,750.0,0.17596808180884932
2021-01-01,AMBUJACEM,10.25,13.9,253.0,0.21817965496728142
2021-01-01,M&M,28.85,41.95,740.0,0.4030348813110303
2021-01-01,BPCL,21.8,22.45,385.0,-0.02604999579160009
2021-01-01,ACC,60.45,82.85,1640.0,0.34684863523573184
2021-01-29,SAIL,3.55,6.35,58.0,0.6214084507042253
2021-01-29,NMDC,5.65,8.05,105.0,0.2792920353982301
2021-01-29,GODREJPROP,85.8,85.8,1260.0,-0.02
2021-01-29,BAJFINANCE,214.35,388.0,4800.0,0.7820223932820154
2021-01-29,ASIANPAINT,78.15,112.0,2420.0,0.40880998080614195
2021-02-26,BALKRISIND,86.0,84.1,1560.0,-0.04187209302325588
2021-02-26,TECHM,42.75,47.0,920.0,0.06994972812147328
2021-02-26,ASIANPAINT,86.75,122.6,2300.0,0.3891239193083573
2021-02-26,CIPLA,35.9,40.45,790.0,0.09119653013244788
2021-02-26,MARUTI,350.65,466.0,6900.0,0.30567089690574656
2021-03-26,BANKBARODA,4.65,7.2,71.0,0.39548387096774185
2021-03-26,PNB,2.5,3.35,36.0,0.19960000000000006
2021-03-26,IDFCFIRSTB,3.0,1.5,58.0,-0.59
2021-03-26,DLF,15.55,19.15,280.0,0.1454079258899307
2021-03-26,ASHOKLEY,5.85,7.55,115.0,0.15316239316239322
2021-04-30,DLF,12.15,16.7,250.0,0.25722704872224755
2021-04-30,IDFCFIRSTB,3.0,3.9,54.0,0.16199999999999998
2021-04-30,BANKBARODA,3.95,6.2,67.0,0.4154430379746835
2021-04-30,M&M,32.9,38.6,760.0,0.13361849945953946
2021-04-30,PFC,20.15,5.35,109.5,-0.7721739558768295
2021-05-28,JINDALSTEL,21.95,27.15,400.0,0.17575666377820784
2021-05-28,CHOLAFIN,24.75,28.8,550.0,0.11118457300275486
2021-05-28,NAUKRI,215.45,243.35,4500.0,0.10820143884892089
2021-05-28,TATACONSUM,22.95,31.45,650.0,0.308399903171145
2021-06-25,ADANIPORTS,36.15,37.1,720.0,-0.007351801794046165
2021-06-25,BHEL,3.3,4.8,66.0,0.3072727272727273
2021-06-25,AUROPHARMA,29.8,51.4,960.0,0.6699698211792261
2021-06-25,M&M,29.15,0.15,790.0,-1.0155433097275874
2021-07-30,BHEL,4.25,1.45,59.0,-0.7392941176470588
2021-07-30,ADANIENT,74.1,143.05,1420.0,0.901194331983806
2021-07-30,BANKBARODA,4.1,5.45,80.0,0.18951219512195136
2021-07-30,CIPLA,29.35,42.75,920.0,0.4063395140015497
2021-07-30,CHOLAFIN,22.25,53.85,480.0,1.327993940159071
2021-08-27,SAIL,7.35,8.7,115.0,0.05265306122448978
2021-08-27,NMDC,5.3,6.3,155.0,0.05735849056603775
2021-08-27,JINDALSTEL,21.15,25.25,370.0,0.131616451218081
2021-08-27,BHEL,3.3,3.85,54.0,0.03666666666666675
2021-10-01,TATASTEEL,73.9,79.4,1300.0,0.053680649526387
