entry,sym,rank,net,reason,days,mom1,vol20,dist200,nifty_dist,pnl_d5,pnl_d10,win,volq
2018-08-31,INDIANB,1,-0.0572938629236972,sl,2,-0.06765975219267706,0.34168307069817616,0.0005009665971575927,0.09083491548763467,-0.03150664476631326,-0.04270568911452888,False,highV
2018-08-31,ASIANPAINT,2,-0.06214091040881409,sl,6,-0.05178872126189915,0.12533626139852766,0.10854698592863987,0.09083491548763467,-0.04149753551754132,-0.05121049579588277,False,lowV
2018-08-31,HDFCBANK,3,-0.05238263820365341,sl,12,-0.04706098204251996,0.10131759406504919,0.04186581659993438,0.09083491548763467,-0.005751967461673724,-0.03665375081225486,False,lowV
2018-08-31,INDUSINDBK,4,-0.052473857662229006,sl,12,-0.04146714468373147,0.1526262026621996,0.03974774081731991,0.09083491548763467,-0.01655637799806453,-0.01687024298380979,False,lowV
2018-08-31,MARUTI,5,-0.05281900975628384,sl,6,-0.03246078271009534,0.17833774223224916,0.01116902656340013,0.09083491548763467,-0.04315887636405291,-0.06793950994988263,False,lowV
2018-09-28,BAJFINANCE,1,0.020203201177444785,tp,1,-0.2605893655732966,0.3873144579789021,0.02223828981000775,0.012988885189647803,-0.08798638579707463,0.06434550639315617,True,highV
2018-09-28,HAVELLS,2,0.028502975442125655,tp,2,-0.16995964936691255,0.40227496650115446,0.04974161128406762,0.012988885189647803,-0.040315145419495324,0.008716788198809944,True,highV
2018-09-28,BRITANNIA,3,-0.06797835319906831,sl,4,-0.14823972168129007,0.3200844384115181,0.044652994285195424,0.012988885189647803,-0.048867995615837656,-0.027127003699136787,False,highV
2018-09-28,NESTLEIND,4,-0.022487120038573227,expiry,17,-0.14199201644243165,0.3471786962718755,0.06270213968070171,0.012988885189647803,-0.034536352165126294,-0.006468192496691616,False,highV
2018-09-28,BAJAJFINSV,5,-0.06195192243840897,sl,3,-0.1387536548923728,0.32100104804384144,0.04052294783057109,0.012988885189647803,-0.1033103127697722,-0.06112623680191265,False,highV
2018-11-30,DIVISLAB,1,0.04068549873100846,tp,2,-0.03657678780773732,0.2692432970428764,0.20526986576009887,0.013307159961657433,0.040642492090532834,0.042380836491325624,True,midV
2018-11-30,ADANIENT,2,-0.08913763960156951,sl,4,-0.024153166421207573,0.3972553686056754,0.048139102263955236,0.013307159961657433,-0.07395110172049502,-0.0452761847268337,False,highV
2018-11-30,WIPRO,3,0.03176419012459608,tp,2,-0.011705685618728978,0.3019349545810948,0.11250104815704032,0.013307159961657433,0.02953391785879078,0.027072758037224975,True,midV
2018-11-30,LUPIN,4,-0.0789184088597581,sl,6,0.005568181818181861,0.20262255489496134,0.05596154672292708,0.013307159961657433,-0.04684145101141368,-0.0454853655780314,False,lowV
2018-11-30,HCLTECH,5,0.019990681706719138,tp,2,0.01050649221924882,0.32439088884472933,0.03643061226668243,0.013307159961657433,-0.052770966159882304,-0.055419323197645864,True,highV
2018-12-28,AUROPHARMA,1,0.02931761308950931,tp,7,-0.07708901719434047,0.3537656261401455,0.08931956094715243,0.010787962395935491,0.0037123607864706365,0.06386635501168714,True,highV
2018-12-28,PIDILITIND,2,0.0256600505232768,tp,11,-0.04295643914864222,0.270371317882198,0.037929273042165645,0.010787962395935491,0.003789245759653337,0.005954529050884005,True,midV
2018-12-28,LUPIN,3,0.025515151515151602,tp,13,-0.02284425423630787,0.28774930214180394,0.003973467434145617,0.010787962395935491,-0.012014678030302983,-0.003196022727272596,True,midV
2018-12-28,RELIANCE,4,0.04631429580262181,tp,15,-0.01431306012355349,0.24887287971666602,0.061172816796290164,0.010787962395935491,-0.024010239661031774,-0.028203204307719276,True,midV
2018-12-28,DIVISLAB,5,0.031039787529180907,tp,9,-0.0023290353068251557,0.254507428852181,0.19480176142003414,0.010787962395935491,-0.005176438745474798,0.024190547078526192,True,midV
2019-02-01,FEDERALBNK,1,-0.056523423944476514,sl,8,-0.06439393939393945,0.2934141382966659,0.01482024944974314,0.004820820778980606,-0.02429149797570862,-0.06824754193175253,False,midV
2019-02-01,BAJAJFINSV,2,0.021839310013281543,tp,4,-0.042922538231784824,0.26288302698144994,0.006277148439469915,0.004820820778980606,0.011839285568782776,-0.014780773586904439,True,midV
2019-02-01,SBIN,3,-0.05555183301175237,sl,8,-0.026967059225123657,0.22319598932117346,0.02852761427959316,0.004820820778980606,0.0028065251710227557,-0.07349587791615497,False,lowV
2019-02-01,ICICIBANK,4,-0.019547140649149974,expiry,19,-0.021987082588978968,0.29730834888801283,0.10710463437702233,0.004820820778980606,-0.000983560488970081,-0.03639173809189278,False,midV
2019-02-01,PFC,5,0.034146846413095955,tp,12,-0.01563981042654039,0.2537881542611864,0.19056490212375676,0.004820820778980606,-0.030813673567645528,-0.003370245546461148,True,midV
2019-03-01,APOLLOHOSP,1,0.029859408671666476,tp,1,-0.1262333358439407,0.4697708872891954,0.029378457631528798,0.0034170205061898606,0.0417205413326438,-0.02986811481768803,True,highV
2019-03-01,NESTLEIND,2,0.01932336950070035,tp,7,-0.08446111910548071,0.244316113195976,0.009854321459127346,0.0034170205061898606,-0.020313872599064475,-0.0023504831548707417,True,lowV
2019-03-01,AUROPHARMA,3,0.03363203463203479,tp,5,-0.07676203768318213,0.32211597032870254,0.03681317272097728,0.0034170205061898606,0.03463203463203479,0.07249364392221525,True,highV
2019-03-01,INDIGO,4,0.052672817601135624,tp,1,-0.05149781218444971,0.2588778618305014,0.0726080065924668,0.0034170205061898606,0.155917317246274,0.17720901348474105,True,midV
2019-03-01,DRREDDY,5,0.021658354208652697,tp,11,-0.02485031039929475,0.3244712528246079,0.08969617994713164,0.0034170205061898606,-0.00589531576667357,0.0096622906974555,True,highV
2019-03-29,TECHM,1,0.01933485149785097,tp,2,-0.0650152941882084,0.1746720353555174,0.08205321488984074,0.0670229530661186,0.005516710500994337,0.013663480659439342,True,lowV
2019-03-29,HINDUNILVR,2,0.022823409342742074,tp,16,-0.03200858078356106,0.1432526673923516,0.004102020559877628,0.0670229530661186,-0.0246690383157403,0.0076689799965008465,True,lowV
2019-03-29,TCS,3,0.03563258215030285,tp,2,-0.009586549333857719,0.1963058834471292,0.023143764878048367,0.0670229530661186,0.025315199046957115,0.00608061153578876,True,lowV
2019-03-29,BAJAJ-AUTO,4,0.020489697790275874,tp,8,0.009745324522812071,0.15018458106605992,0.039924140720912105,0.0670229530661186,-0.0011109375271224353,0.044142408304258085,True,lowV
2019-03-29,NESTLEIND,5,-0.01827064895085906,expiry,17,0.02132863576256927,0.262730336046042,0.050981237371673815,0.0670229530661186,0.0019194639987325512,-0.001914936960999536,False,midV
2019-04-26,JUBLFOOD,1,-0.05966439371479404,sl,6,-0.08130192019610505,0.19710147535115508,0.024450284320641114,0.07077114284686159,-0.04669433738511708,-0.10532167210198651,False,lowV
2019-04-26,TORNTPHARM,2,-0.05610988079769508,sl,7,-0.0639591761190873,0.2913781598796508,0.02292774565096045,0.07077114284686159,-0.033500932150725915,-0.0641771651319134,False,midV
2019-04-26,POWERGRID,3,-0.05193555093555102,sl,10,-0.05384804524219322,0.12896759243543177,0.01569335985186915,0.07077114284686159,-0.0007796257796257589,-0.05093555093555102,False,lowV
2019-04-26,PNB,4,-0.05159021922428331,sl,5,-0.041487068965517127,0.30427073771333407,0.13662864061386903,0.07077114284686159,-0.050590219224283306,-0.06520517144463178,False,midV
2019-04-26,IOC,5,0.029136098509397024,tp,1,-0.034418022528160175,0.3017002207063396,0.05534039515418887,0.07077114284686159,0.0009721322099804919,-0.06480881399870386,True,midV
2019-05-31,TECHM,1,-0.055004336114578445,sl,17,-0.09463478467761133,0.23472846728422322,0.01981268035662942,0.07389937648905676,0.010183299389002087,-0.029827212403915504,False,lowV
2019-05-31,DRREDDY,2,-0.06234168624380054,sl,15,-0.08522795108389769,0.2793362450397455,0.02331595466798464,0.07389937648905676,-0.016388857814073066,-0.045456240444494034,False,midV
2019-05-31,DIVISLAB,3,0.0015374349978073418,expiry,18,-0.07322029961676935,0.42658650064683235,0.058167558887130655,0.07389937648905676,-0.019015099304554806,-0.03201553787356681,True,highV
2019-05-31,PNB,4,0.021881880024737232,tp,2,-0.0680115273775217,0.5365170905319613,0.025153345062051358,0.07389937648905676,-0.04081632653061218,-0.05936920222634501,True,highV
2019-05-31,HCLTECH,5,0.019387685290763845,tp,1,-0.06094740448860725,0.21236831800578385,0.05781304089285677,0.07389937648905676,0.00045610034207532735,-0.016191562143671567,True,lowV
2019-06-28,BANKBARODA,1,0.026777777777777678,tp,3,-0.10362504577078002,0.31784805796708737,0.0538664370661357,0.0643571125519109,0.06658496732026142,0.032271241830065245,True,highV
2019-06-28,ACC,2,0.020814116895560564,tp,11,-0.09143669655552655,0.30323747669075557,0.027835431434004354,0.0643571125519109,-0.014627914404343745,0.007505589268604229,True,midV
2019-06-28,INDIGO,4,0.046678235650317146,tp,4,-0.044665692363902165,0.23314192784350282,0.29852689186412507,0.0643571125519109,-0.0006692800458935055,-0.13704305701628583,True,lowV
2019-06-28,RELIANCE,5,0.019237623762376255,tp,4,-0.03922986187740185,0.20225924371486892,0.026184572605301826,0.0643571125519109,0.00217821782178218,0.013069306930693081,True,lowV
2019-07-26,PFC,1,-0.05241843971631199,sl,4,-0.1693667157584684,0.3059381645886004,0.03304507895514086,0.014958200738158789,-0.043439716312056675,-0.02659574468085102,False,midV
2019-07-26,TITAN,2,-0.060795863065666866,sl,6,-0.16706165594552924,0.46594498832505904,0.056491671813854616,0.014958200738158789,-0.03576912654683395,-0.03599494173968021,False,highV
2019-07-26,BAJAJFINSV,3,0.033812497851716805,tp,10,-0.13846509203762059,0.558317174149814,0.06508518741186697,0.014958200738158789,-0.025174440587082847,0.034812497851716806,True,highV
2019-07-26,RECLTD,4,-0.054786270346780075,sl,6,-0.13366033108522368,0.6374216290977707,0.06652375902450447,0.014958200738158789,-0.04387827317763637,0.015215852795470441,False,highV
2019-07-26,FEDERALBNK,5,-0.05167920585161978,sl,2,-0.1167512690355329,0.2763131378428962,0.03882288449744098,0.014958200738158789,-0.08150470219435735,-0.08045977011494254,False,midV
2019-09-27,APOLLOHOSP,2,0.02572147995888996,tp,8,-0.041118700513134154,0.20902932106740346,0.09297322066481284,0.027299648678069666,-0.0001417585143705935,0.053974554346670534,True,lowV
2019-09-27,POWERGRID,3,0.02240211373930545,tp,13,-0.039864701618748444,0.28077056784316423,0.01879280487195234,0.027299648678069666,-0.010065425264217387,0.01711122294916967,True,midV
2019-09-27,INFY,4,0.02290106369345135,tp,1,-0.0067464358452139495,0.27631042168419917,0.04953585981439779,0.027299648678069666,0.005767012687427853,-0.023068050749711633,True,midV
2019-09-27,BHARTIARTL,5,0.048247800170309385,tp,1,0.012065498419994158,0.3080996099378926,0.05046276418109841,0.027299648678069666,-0.025688333806414998,0.09367016747090551,True,midV
2019-11-01,MARICO,1,-0.025254742547425435,expiry,18,-0.05951318975404618,0.2773671116486994,0.0006671114076051143,0.05112413753373213,0.003929539295392859,-0.035094850948509504,False,midV
2019-11-01,ACC,2,-0.023363495546663282,expiry,18,-0.05811550151975675,0.3064732123751835,0.002805707203256791,0.05112413753373213,-0.026074609526268278,-0.033625919710855934,False,midV
2019-11-01,PIDILITIND,3,-0.05480108602457845,sl,6,-0.05470755099284075,0.23940382478916425,0.12290768585221334,0.05112413753373213,-0.03440268648185185,-0.06587596456130307,False,lowV
2019-11-01,ULTRACEMCO,4,0.026104904469260393,tp,18,-0.05180935969526579,0.33827524460141006,0.001046372212279545,0.05112413753373213,-0.007436811018914691,-0.011131303952748528,True,highV
2019-11-29,TITAN,1,0.019516782556442513,tp,4,-0.11532181507499517,0.3790914308572953,0.004621223130004459,0.05601479556161948,0.009528714911151148,0.02274873379689235,True,highV
2019-11-29,SIEMENS,2,0.020317763671543365,tp,13,-0.1090848605818665,0.23419448835617068,0.17716776448812643,0.05601479556161948,0.0026138022336128497,0.011235955056179803,True,lowV
