entry,exit,sym,side,gross,net,reason,margin,rom
2018-08-31,2018-09-03,ADANIENT,1,-0.06831748839265983,-0.06931748839265983,sl,0.22,-0.31507949269390834
2018-08-31,2018-09-05,BAJFINANCE,1,-0.05052960583434629,-0.05152960583434629,sl,0.22,-0.23422548106521043
2018-08-31,2018-09-06,SUNPHARMA,1,0.0352527338074482,0.0342527338074482,tp,0.22,0.15569424457931
2018-08-31,2018-09-04,HAVELLS,1,-0.07509610104338271,-0.07609610104338271,sl,0.22,-0.34589136837901235
2018-08-31,2018-09-07,RELIANCE,1,0.023892284949458498,0.022892284949458497,tp,0.22,0.1040558406793568
2018-09-28,2018-10-04,RELIANCE,1,-0.10920677644078536,-0.11020677644078536,sl,0.22,-0.5009398929126607
2018-09-28,2018-10-23,DIVISLAB,1,-0.052110217094276656,-0.05311021709427666,sl,0.22,-0.24141007770125752
2018-09-28,2018-10-01,WIPRO,1,0.02077242652715805,0.01977242652715805,tp,0.22,0.08987466603253659
2018-09-28,2018-10-01,AUROPHARMA,1,0.03318169654803338,0.03218169654803338,tp,0.22,0.1462804388546972
2018-09-28,2018-10-03,AXISBANK,1,-0.06358899202084367,-0.06458899202084367,sl,0.22,-0.29358632736747126
2018-11-30,2018-12-06,AUROPHARMA,1,-0.07405587964384397,-0.07505587964384397,sl,0.22,-0.34116308929019984
2018-11-30,2018-12-27,DRREDDY,1,-0.049640049952251575,-0.050640049952251576,expiry,0.22,-0.23018204523750715
2018-11-30,2018-12-04,DIVISLAB,1,0.041685498731008463,0.04068549873100846,tp,0.22,0.18493408514094756
2018-11-30,2018-12-06,MUTHOOTFIN,1,-0.08040645018776227,-0.08140645018776227,sl,0.22,-0.370029319035283
2018-11-30,2018-12-04,WIPRO,1,0.03276419012459608,0.03176419012459608,tp,0.22,0.14438268238452764
2018-12-28,2019-01-07,INDIGO,1,-0.05182926829268297,-0.052829268292682974,sl,0.22,-0.2401330376940135
2018-12-28,2019-01-08,FEDERALBNK,1,0.020766773162939067,0.019766773162939066,tp,0.22,0.0898489689224503
2018-12-28,2019-01-04,PFC,1,0.02494004796163063,0.02394004796163063,tp,0.22,0.10881839982559377
2018-12-28,2019-01-01,UNIONBANK,1,0.03130434782608704,0.03030434782608704,tp,0.22,0.13774703557312293
2018-12-28,2019-01-04,APOLLOHOSP,1,0.0350147893516668,0.034014789351666797,tp,0.22,0.15461267887121272
2019-02-01,2019-02-07,INDIGO,1,0.02589202474786001,0.02489202474786001,tp,0.22,0.11314556703572731
2019-02-01,2019-02-18,DABUR,1,-0.06438809261300993,-0.06538809261300993,sl,0.22,-0.29721860278640877
2019-02-01,2019-02-18,ASIANPAINT,1,-0.054468318051183906,-0.05546831805118391,sl,0.22,-0.2521287184144723
