cycle,entry,sym,strike,lot,eprem,xprem,reason,xdate,pnl,cum
2025-08-28,2025-08-01,KOTAKBANK,2000,400,38.7,28.0,TP +2%,2025-08-21,-4694,-4694
2025-08-28,2025-08-01,UNIONBANK,127,4425,4.6,5.7,TP +2%,2025-08-06,2133,-2561
2025-08-28,2025-08-01,AUBANK,740,1000,25.8,26.9,TP +2%,2025-08-18,-28,-2589
2025-08-28,2025-08-01,SAIL,120,4700,4.5,7.2,TP +2%,2025-08-04,9419,6830
2025-08-28,2025-08-01,BHEL,235,2625,8.5,13.6,TP +2%,2025-08-04,9783,16613
2025-09-30,2025-08-29,DIVISLAB,6200,100,135.2,2.4,SL -5%,2025-09-26,-13423,3190
2025-09-30,2025-08-29,ADANIPORTS,1320,475,32.4,45.0,TP +2%,2025-09-08,5327,8517
2025-09-30,2025-08-29,AMBUJACEM,565,1050,13.5,20.1,TP +2%,2025-09-17,5362,13879
2025-09-30,2025-08-29,UNIONBANK,125,4425,4.5,6.1,TP +2%,2025-09-01,4500,18379
2025-09-30,2025-08-29,BPCL,310,1975,8.1,11.3,TP +2%,2025-09-01,4021,22400
2025-10-28,2025-10-01,MPHASIS,2700,275,90.5,142.3,TP +2%,2025-10-06,13632,36032
2025-10-28,2025-10-01,DMART,4450,150,155.6,21.9,SL -5%,2025-10-13,-20321,15711
2025-10-28,2025-10-01,BAJAJ-AUTO,8700,75,210.7,284.1,TP +2%,2025-10-06,5138,20849
2025-10-28,2025-10-01,CIPLA,1520,375,29.9,61.1,TP +2%,2025-10-10,11015,31864
2025-10-28,2025-10-01,TITAN,3420,175,100.7,166.1,TP +2%,2025-10-08,10978,42842
2025-11-25,2025-10-29,DRREDDY,1250,625,34.0,0.0,expiry,2025-11-25,-21625,21217
2025-11-25,2025-10-29,HINDUNILVR,2480,300,50.2,0.0,expiry,2025-11-25,-15240,5977
2025-11-25,2025-10-29,HDFCLIFE,760,1100,16.1,27.1,TP +2%,2025-11-12,10434,16411
2025-11-25,2025-10-29,BRITANNIA,5900,125,141.0,199.1,TP +2%,2025-11-06,6831,23242
2025-11-25,2025-10-29,DMART,4250,150,99.7,24.9,SL -5%,2025-11-07,-11414,11828
2025-12-30,2025-11-26,BAJAJFINSV,2100,250,45.8,0.0,expiry,2025-12-30,-11600,228
2025-12-30,2025-11-26,VOLTAS,1380,375,39.0,34.1,TP +2%,2025-12-18,-2241,-2013
2025-12-30,2025-11-26,HINDALCO,800,700,23.4,34.2,TP +2%,2025-12-03,6527,4514
2025-12-30,2025-11-26,GRASIM,2760,250,51.8,95.2,TP +2%,2025-12-12,10437,14951
2025-12-30,2025-11-26,ETERNAL,310,2425,8.7,1.6,SL -5%,2025-12-08,-18588,-3637
2026-01-27,2025-12-31,INDIANB,840,1000,24.1,40.0,TP +2%,2026-01-02,14256,10619
2026-01-27,2025-12-31,HEROMOTOCO,5800,150,133.2,235.0,TP +2%,2026-01-02,14718,25337
2026-01-27,2025-12-31,ADANIGREEN,1020,600,33.7,46.8,TP +2%,2026-01-02,7000,32337
2026-01-27,2025-12-31,ASIANPAINT,2780,250,56.1,96.6,TP +2%,2026-01-06,9704,42041
2026-01-27,2025-12-31,AUROPHARMA,1190,550,31.1,48.3,TP +2%,2026-01-02,8644,50685
2026-02-24,2026-01-28,BHEL,260,2625,11.2,14.1,TP +2%,2026-02-03,4055,54740
2026-02-24,2026-01-28,POLYCAB,7000,125,182.9,569.3,TP +2%,2026-02-03,47353,102093
2026-02-24,2026-01-28,TATACONSUM,1140,550,30.1,33.8,TP +2%,2026-02-05,1361,103454
2026-02-24,2026-01-28,M&M,3450,200,125.2,184.3,TP +2%,2026-02-04,11191,114645
2026-02-24,2026-01-28,CHOLAFIN,1640,625,65.2,78.7,TP +2%,2026-02-03,7538,122183
2026-03-30,2026-02-25,MUTHOOTFIN,3550,275,110.2,38.9,SL -5%,2026-03-05,-20018,102165
2026-03-30,2026-02-25,HINDALCO,940,700,31.9,48.3,TP +2%,2026-03-12,10424,112589
2026-03-30,2026-02-25,AUBANK,980,1000,34.5,11.4,SL -5%,2026-03-09,-23899,88690
2026-03-30,2026-02-25,MARUTI,15200,50,309.4,65.8,SL -5%,2026-03-04,-12365,76325
2026-03-30,2026-02-25,GRASIM,2900,250,58.2,8.9,SL -5%,2026-03-04,-12510,63815
2026-04-28,2026-04-01,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,63815
2026-05-26,2026-04-29,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,63815
2026-06-30,2026-05-27,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,63815
2026-07-28,2026-07-01,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,63815
