entry,exit,sym,cycle,net,reason
2019-04-26,2019-05-14,POWERGRID,2019-05-30,-0.05193555093555102,sl
2019-05-13,2019-05-14,PNB,2019-05-30,0.037077403245942775,tp
2019-05-15,2019-05-16,SIEMENS,2019-05-30,0.05045008365867265,tp
2019-05-14,2019-05-17,PFC,2019-05-30,0.01951282051282044,tp
2019-05-09,2019-05-20,PIDILITIND,2019-05-30,0.048922733516483574,tp
2019-05-10,2019-05-20,RECLTD,2019-05-30,0.06610430342815465,tp
2019-05-15,2019-05-20,PNB,2019-05-30,0.07676427703523692,tp
2019-05-17,2019-05-20,CHOLAFIN,2019-05-30,0.06473853484216796,tp
2019-05-20,2019-05-21,BANKBARODA,2019-05-30,0.021357723577235865,tp
2019-05-21,2019-05-24,PNB,2019-05-30,0.028069767441860516,tp
2019-05-21,2019-05-24,PIDILITIND,2019-05-30,0.02448775425487748,tp
2019-05-21,2019-05-24,RECLTD,2019-05-30,0.030294452347083944,tp
2019-05-21,2019-05-30,VOLTAS,2019-05-30,-0.02350941458404676,expiry
2019-05-22,2019-05-30,TECHM,2019-05-30,-0.02248606399254971,expiry
2019-05-31,2019-06-03,HCLTECH,2019-06-27,0.019387685290763845,tp
2019-05-31,2019-06-04,PNB,2019-06-27,0.021881880024737232,tp
2019-06-06,2019-06-18,PNB,2019-06-27,-0.05184745762711873,sl
2019-06-19,2019-06-20,BAJAJ-AUTO,2019-06-27,0.0252906816495283,tp
2019-05-31,2019-06-24,DRREDDY,2019-06-27,-0.06234168624380054,sl
2019-05-31,2019-06-26,TECHM,2019-06-27,-0.055004336114578445,sl
2019-05-31,2019-06-27,DIVISLAB,2019-06-27,0.0015374349978073418,expiry
2019-06-04,2019-06-27,HCLTECH,2019-06-27,-0.02676090942427567,expiry
2019-06-28,2019-07-03,BANKBARODA,2019-07-25,0.026777777777777678,tp
2019-06-28,2019-07-04,INDIGO,2019-07-25,0.046678235650317146,tp
2019-06-28,2019-07-04,RELIANCE,2019-07-25,0.019237623762376255,tp
2019-07-04,2019-07-08,BPCL,2019-07-25,-0.052000392310710075,sl
2019-07-05,2019-07-10,INDIGO,2019-07-25,-0.10930463069269036,sl
2019-06-28,2019-07-15,ACC,2019-07-25,0.020814116895560564,tp
2019-07-11,2019-07-16,INDIGO,2019-07-25,0.05966868403572201,tp
2019-07-17,2019-07-22,INDIGO,2019-07-25,0.03461287674044666,tp
2019-06-28,2019-07-25,PIDILITIND,2019-07-25,0.00946221749969356,expiry
2019-07-05,2019-07-25,IOC,2019-07-25,-0.03524432005268352,expiry
2019-07-09,2019-07-25,TITAN,2019-07-25,-0.011107877798930188,expiry
2019-07-16,2019-07-25,TCS,2019-07-25,0.008058572444865963,expiry
2019-07-26,2019-07-30,FEDERALBNK,2019-08-29,-0.05167920585161978,sl
2019-07-26,2019-08-01,PFC,2019-08-29,-0.05241843971631199,sl
2019-07-26,2019-08-05,TITAN,2019-08-29,-0.060795863065666866,sl
2019-07-26,2019-08-05,RECLTD,2019-08-29,-0.054786270346780075,sl
2019-07-26,2019-08-09,BAJAJFINSV,2019-08-29,0.033812497851716805,tp
2019-09-27,2019-09-30,INFY,2019-10-31,0.02290106369345135,tp
2019-09-27,2019-09-30,BHARTIARTL,2019-10-31,0.048247800170309385,tp
2019-09-27,2019-10-11,APOLLOHOSP,2019-10-31,0.02572147995888996,tp
2019-10-14,2019-10-15,APOLLOHOSP,2019-10-31,0.019905564518897356,tp
2019-10-01,2019-10-16,HCLTECH,2019-10-31,0.032625662430239566,tp
2019-09-27,2019-10-18,POWERGRID,2019-10-31,0.02240211373930545,tp
2019-10-01,2019-10-22,INFY,2019-10-31,-0.1947705332322467,sl
2019-10-17,2019-10-22,DRREDDY,2019-10-31,0.029879469276302584,tp
2019-10-22,2019-10-25,INDIGO,2019-10-31,-0.12217415428673706,sl
2019-09-27,2019-10-29,MARICO,2019-10-31,-0.0648460558175099,sl
